cust_id,age_band,res_area,nbask,nitem,spend,nprodid,nprodcat,ipb_max,ipb_med,ipb_min,spb_max,spb_med,spb_min,prodctpb_max,prodctpb_med,prodctpb_min,dur_max,dur_med,dur_min,popcat_nbaskA,popcat_nbaskB,popcat_nbaskC,popcat_nbaskD,popcat_nbaskE,popcat_sizeA,popcat_sizeB,popcat_sizeC,popcat_sizeD,popcat_sizeE,popid_nbaskA,popid_nbaskB,popid_nbaskC,popid_nbaskD,popid_nbaskE,prodpriceA,prodpriceB,prodpriceC,prodpriceD,prodpriceE
00001069,11,1,11,16,2660,10,9,9,2.5,2,971,751,187,5,2,1,69,13,7,0,0,0,0,11,0,0,0,4,7,0,0,0,3,8,1,3,3,2,2
00001113,11,2,18,23,3209,17,15,9,5.5,3,1231,710,558,6,4.5,2,40,14,1,0,0,0,2,16,1,0,4,4,9,0,0,1,4,13,7,1,4,5,1
00001250,4,3,14,18,1795,14,9,13,9,5,963,897.5,832,6,4.5,3,6,6,6,0,0,2,2,10,0,1,0,2,11,0,1,1,3,9,6,4,0,2,2
00001823,11,3,14,25,6053,13,9,16,6,3,2916,2704,433,6,3,1,79,41.5,4,0,1,0,2,11,0,1,0,3,10,0,0,1,4,9,3,4,2,4,1
00002189,11,5,62,141,49078,58,42,89,70.5,52,33690,24539,15388,30,23,16,32,32,32,0,0,6,14,42,0,1,3,22,36,3,6,8,10,35,10,21,15,11,5
00003667,11,7,13,26,25005,10,9,11,6,3,17920,3313,459,6,2.5,1,37,18,7,0,0,4,1,8,0,0,3,1,9,0,2,4,3,4,0,3,2,3,5
00004282,10,1,9,9,967,9,8,7,4.5,2,796,483.5,171,6,4,2,29,29,29,0,0,0,0,9,0,0,0,5,4,0,0,0,0,9,1,2,5,1,0
00004947,11,3,36,40,3891,35,33,24,20,16,2307,1945.5,1584,20,17,14,7,7,7,0,0,0,3,33,1,0,3,8,24,0,0,1,1,34,14,9,5,7,1
00004978,11,3,23,25,2753,23,19,13,12.5,12,1429,1376.5,1324,10,9.5,9,19,19,19,0,0,1,4,18,0,1,0,3,19,0,2,3,5,13,3,12,5,1,2
00005241,4,2,37,50,6884,37,31,19,12.5,6,4081,1239,325,13,7,5,34,22,9,0,0,1,5,31,1,1,2,7,26,0,2,0,8,27,20,11,2,2,2
00005517,7,1,105,106,7973,99,64,38,35,33,2905,2730,2338,28,25,25,41,27.5,14,0,0,2,4,99,1,2,6,28,68,1,2,5,12,85,44,34,18,7,2
00006668,4,1,46,64,10209,42,29,11,6,2,2929,483,131,5,3,2,21,10.5,2,0,0,0,1,45,0,0,1,19,26,0,0,0,5,41,17,11,11,3,4
00007795,4,7,60,87,21060,54,49,31,21,14,7464,5133,3330,21,13.5,9,41,28,4,0,2,2,11,45,1,2,4,15,38,1,4,3,6,46,19,11,12,11,7
